title,journal,date,abstract
2D MOF Nanoflake-Assembled Spherical Microstructures for Enhanced Supercapacitor and Electrocatalysis Performances,Nano-Micro Letters,2017,"Abstract Metalâ€“organic frameworks (MOFs) are of great interest as potential electrochemically active materials. However, few studies have been conducted into understanding whether control of the shape and components of MOFs can optimize their electrochemical performances due to the rational realization of their shapes. Component control of MOFs remains a significant challenge. Herein, we demonstrate a solvothermal method to realize nanostructure engineering of 2D nanoflake MOFs. The hollow structures with Ni/Co- and Ni-MOF (denoted as Ni/Co-MOF nanoflakes and Ni-MOF nanoflakes) were assembled for their electrochemical performance optimizations in supercapacitors and in the oxygen reduction reaction (ORR). As a result, the Ni/Co-MOF nanoflakes exhibited remarkably enhanced performance with a specific capacitance of 530.4Â FÂ gâˆ’1 at 0.5Â AÂ gâˆ’1 in 1Â M LiOH aqueous solution, much higher than that of Ni-MOF (306.8Â FÂ gâˆ’1) and ZIF-67 (168.3Â FÂ gâˆ’1), a good rate capability, and a robust cycling performance with no capacity fading after 2000 cycles. Ni/Co-MOF nanoflakes also showed improved electrocatalytic performance for the ORR compared to Ni-MOF and ZIF-67. The present work highlights the significant role of tuning 2D nanoflake ensembles of Ni/Co-MOF in accelerating electron and charge transportation for optimizing energy storage and conversion devices."
Hemoglobin oxygen affinity in patients with cystic fibrosis.,PLoS ONE,2014,"In patients with cystic fibrosis lung damages cause arterial hypoxia. As a typical compensatory reaction one might expect changes in oxygen affinity of hemoglobin. Therefore position (standard half saturation pressure P50st) and slope (Hill's n) of the O2 dissociation curve as well as the Bohr coefficients (BC) for CO2 and lactic acid were determined in blood of 14 adult patients (8 males, 6 females) and 14 healthy controls (6 males, 8 females). While Hill's n amounted to approximately 2.6 in all subjects, P50st was slightly increased by 1 mmHg in both patient groups (controls male 26.7 Â± 0.2, controls female 27.0 Â± 0.1, patients male 27.7 Â± 0.5, patients female 28.0 Â± 0.3 mmHg; mean and standard error, overall p<0.01). Main cause was a rise of 1-2 Âµmol/g hemoglobin in erythrocytic 2,3-biphosphoglycerate concentration. One patient only, clearly identified as an outlier and with the mutation G551D, showed a reduction of both P50st (24.5 mmHg) and [2,3-biphosphoglycerate] (9.8 Âµmol/g hemoglobin). There were no differences in BCCO2, but small sex differences in the BC for lactic acid in the controls which were not detectable in the patients. Causes for the right shift of the O2 dissociation curve might be hypoxic stimulation of erythrocytic glycolysis and an increased red cell turnover both causing increased [2,3-biphosphoglycerate]. However, for situations with additional hypercapnia as observed in exercising patients a left shift seems to be a more favourable adaptation in cystic fibrosis. Additionally when in vivo PO2 values were corrected to the standard conditions they mostly lay left of the in vitro O2 dissociation curve in both patients and controls. This hints to unknown fugitive factors influencing oxygen affinity."
Development of porous Pt/IrO2/carbon paper electrocatalysts with enhanced mass transport as oxygen electrodes in unitized regenerative fuel cells,Electrochemistry Communications,2016,"The oxygen electrodes in unitized regenerative fuel cells (URFC) must have high activities towards oxygen reduction reaction (ORR) as well as oxygen evolution reaction (OER), thus requiring high loading of noble metal electrocatalysts. In this study, porous Pt/IrO2/carbon paper (CP) electrocatalysts were developed to reduce the metal loading. The Pt/IrO2/CP electrodes were fabricated by sequential formation of IrO2 layers (loading 0.1Â mgÂ cmâˆ’2) and porous Pt layers (0â€“0.3Â mgÂ cmâˆ’2) on CP substrates by electrodeposition and spraying techniques, respectively. The fuel cell (FC) performances increased linearly up to 0.69Â AÂ cmâˆ’2 with increasing Pt loading (up to ~0.3Â mgÂ cmâˆ’2) at 0.6Â V, whereas the water electrolysis (WE) activity was highest at Pt loading of 0.2Â mgÂ cmâˆ’2. The current densities in the FC and WE modes and round-trip efficiency of the developed Pt/IrO2/CP electrodes with the oxygen electrocatalysts loadings of 0.3 and 0.4Â mgÂ cmâˆ’2 were higher or comparable to previously reported values with higher loading (1.5â€“4.0Â mgÂ cmâˆ’2). These high performances with low loading are probably due to the facile oxygen and water transport through well-developed macropores originating from the open CP structures, providing effective utilization of the IrO2 and Pt electrocatalysts towards OER and ORR, respectively. Keywords: Unitized regenerative fuel cell, Oxygen electrode, Platinum, Iridium oxide"
Oxygen reduction on molybdenum carbide derived micromesoporous carbon electrode in alkaline solution,Electrochemistry Communications,2013,"Micromesoporous carbide derived carbon powder, synthesized from molybdenum carbide (Mo2C) at 750Â Â°C using high-temperature chlorination method, and was used as a catalyst for oxygen electroreduction. Cyclic voltammetry and rotating disc electrode data show that very high cathodic current density of âˆ’70 A mâˆ’2 has been achieved for 0.1Â M KOH aqueous solution saturated with O2. There are two clearly separable linear regions in the Tafel plot for C(Mo2C) electrode, indicating that the oxygen reduction reaction (ORR) mechanism depends on the electrode potential applied. Very high half-wave potentials have been measured, demonstrating that C(Mo2C) is a very active catalyst for ORR. Keywords: Oxygen reduction reaction, Carbide derived carbon, Alkaline fuel cell, Rotating disc electrode method"
THE RESULTS OF PHYSICO-CHEMICAL STUDIES OF BENTONITE OF DASHUKOVSK_†_£ FIELD,VÃ¬snik OdesÊ_kogo NacÃ¬onalÊ_nogo UnÃ¬versitetu: HÃ¬mÃ¬Ã¢,2015,"Thus, the basic physical and chemical properties ( moisture content (57,19 %), unit weight (1,31), shear stress (821,59 Pa), stickiness (1839,81 Pa), debris particles with a diameter of more than 250 mkm (0,34 %), specific heat (2,75 kG/(kg Î‡ K)) bentonite deposits Dashukovskoho Cherkasy region meets the eligibility criteria of the Therapeutic muds (peloids). The chemical composition of the aqueous extract of clay deposits Dashukovskoho refers to magnesium sulphate-bicarbonate-calcium-sodium type or complex cation composition with mineralization of 0,26 g/dm3. pH of the extract of clay is 7,95 m. pH is characterized by slightly alkaline reaction. Positive values oxidation -reduction potential of the extract of clay (+ 465 mV) indicate the presence of oxidative processes. This is because the clay extraction in the preparation of the latter was in contact with oxygen. It should be noted that the calculation of the structural formulabentonite is great information because it allows to introduce the character of isomorphic substitutions in the structure, efficiently detect the composition of exchange cations, which makes it possible to predict the behavior of the sample during its processing technology."
1.2Â Volt manganese oxide symmetric supercapacitor,Electrochemistry Communications,2011,"Capacitance fading of MnO2 supercapacitor electrode under negative polarization below 0.0Â V (versus Ag/AgCl/sat. KCl(aq)) arises from extensive reduction of Mn(IV) to form inactive Mn(II) species, and this has typically limited the operating voltage window of an aqueous symmetric MnO2 supercapacitor to be no greater than 0.8Â V. As this lower potential limit is close to the onset potential of MnO2-catalyzed oxygen reduction reaction (ORR), the fading problem can be alleviated by effectively passing the accumulated electrons in the oxide electrode to the dissolved oxygen molecules in electrolyte in order to avoid the formation of the surface Mn(II) species. This has been demonstrated by either increasing the dissolved oxygen content or using the Ti(IV)/Ti(III) redox couple in the electrolyte as a charge-transfer mediator to enhance the electrocatalytic activity of MnO2 for ORR. Therefore, a MnO2 symmetric supercapacitor showing remarkable cycling stability over an operating voltage window of 1.2Â V has been achieved by using Ti(IV)-containing neutral electrolyte (1Â M KCl(aq)). Keywords: Manganese oxide, Electrochemical capacitor, Capacitance fading, Cycle life"
A Hybrid Na//K+-Containing Electrolyte//O2 Battery with High Rechargeability and Cycle Stability,Research,2019,"Na-O2 and K-O2 batteries have attracted extensive attention in recent years. However, the parasitic reactions involving the discharge product of NaO2 or K anode with electrolytes and the severe Na or K dendrites plague their rechargeability and cycle stability. Herein, we report a hybrid Na//K+-containing electrolyte//O2 battery consisting of a Na anode, 1.0 M of potassium triflate in diglyme, and a porous carbon cathode. Upon discharging, KO2 is preferentially produced via oxygen reduction in the cathode with Na+ stripped from the Na anode, and reversely, the KO2 is electrochemically decomposed with Na+ plated back onto the anode. The new reaction pathway can circumvent the parasitic reactions involving instable NaO2 and active K anode, and alternatively, the good stability and conductivity of KO2 and stable Na stripping/plating in the presence of K+ enable the hybrid battery to exhibit an average discharge/charge voltage gap of 0.15 V, high Coulombic efficiency of >96%, and superior cycling stability of 120 cycles. This will pave a new pathway to promote metal-air batteries."
Highly improved oxygen reduction performance over Pt/C-dispersed nanowire network catalysts,Electrochemistry Communications,2010,"Electrochemical reduction of oxygen is studied over a novel nanowire network catalyst made of highly-dispersed Pt nanoparticles into electrospun Pt nanowire network architecture, which shows an excellent mass activity increase by 50% or higher per equal Pt mass than the conventional cathode electrocatalysts of Pt/C in polymer electrolyte membrane fuel cells. Keywords: Pt electrocatalyst, Nanowire network, Oxygen reduction reaction, Electrospinning, Fuel cells"
Methanol-Tolerant Mâ€“Nâ€“C Catalysts for Oxygen Reduction Reactions in Acidic Media and Their Application in Direct Methanol Fuel Cells,Catalysts,2018,"Direct methanol fuel cells (DMFCs) are emerging technologies for the electrochemical conversion of the chemical energy of a fuel (methanol) directly into electrical energy, with a low environmental impact and high efficiency. Yet, before this technology can reach a large-scale diffusion, specific issues must be solved, in particular, the high cost of the cell components. In a direct methanol fuel cell system, high capital costs are mainly derived from the use of noble metal catalysts; therefore, the development of low-cost electro-catalysts, satisfying the target requirements of high performance and durability, represents an important challenge. The research is currently addressed to the development of metal&#8315;nitrogen&#8315;carbon (M&#8315;N&#8315;C) materials as cheap and sustainable catalysts for the oxygen reduction reaction (ORR) in an acid environment, for application in polymer electrolyte fuel cells fueled by hydrogen or alcohol. In particular, this mini-review summarizes the recent advancements achieved in DMFCs using M&#8315;N&#8315;C catalysts. The presented analysis is restricted to M&#8315;N&#8315;C catalysts mounted at the cathode of a DMFC or investigated in rotating disk electrode (RDE) configuration for the ORR in the presence of methanol in order to study alcohol tolerance. The main synthetic routes and characteristics of the catalysts are also presented."
Oxygen Reduction Activity and Stability of Composite Pdx/Co-Nanofilms/C Electrocatalysts in Acid and Alkaline Media,Frontiers in Chemistry,2018,"The morphology tuning of Pd and Pd-M nanoparticles is one of the significant strategies to control the catalytic activity toward oxygen reduction reaction (ORR). In this study, composite Pdx/Co-nanofilms/C electrocatalysts of Pd nanoparticles implanted onto Co nanofilms were synthesized on an immiscible ionic liquid (IL)/water interface for ORR. The Pd nanoparticles implanted onto Co nanofilms show a marked distortion of crystal lattice and surface roughness. These Pdx/Co-nanofilms/C electrocatalysts exhibit enhanced activity for ORR compared with Pd/C and PdxCo/C catalysts in both acid and alkaline solutions, in which the Pd3/Co-nanofilms/C catalyst displays the highest ORR mass activity. The superior ORR mass activities of the fabricated Pdx/Co-nanofilms/C catalysts may be mainly attributed to their larger catalytic areas, which are conferred by the rough surface of Pd nanoparticles with a distorted crystal lattice, and the synergistic effect between the surface Pd atoms and the 2D Co nanofilm substrate. The relationship between ORR mass activity and Pd/Co atom ratio varies in different electrolytes. Furthermore, by using proper heat-treatment methods, the Pdx/Co-nanofilms/C catalysts exhibit improved cycling stability compared with pure Pd/C catalyst after extended potential cycling."
Recent Advances in Oxygen Electrocatalysts Based on Perovskite Oxides,Nanomaterials,2019,"Electrochemical oxygen reduction and oxygen evolution are two key processes that limit the efficiency of important energy conversion devices such as metal&#8722;air battery and electrolysis. Perovskite oxides are receiving discernable attention as potential bifunctional oxygen electrocatalysts to replace precious metals because of their low cost, good activity, and versatility. In this review, we provide a brief summary on the fundamentals of perovskite oxygen electrocatalysts and a detailed discussion on emerging high-performance oxygen electrocatalysts based on perovskite, which include perovskite with a controlled composition, perovskite with high surface area, and perovskite composites. Challenges and outlooks in the further development of perovskite oxygen electrocatalysts are also presented."
"Modeling the OEC with Two New Biomimetic Models: Preparations, Structural Characterization, and Water Photolysis Studies of a Baâ€“Mn Box Type Complex and a Mn4N6 Planar-Diamond Cluster",Catalysts,2018,"The oxygen-evolving complex (OEC) is the native enzyme that catalyzes the oxidation of water in natural photosynthesis. Two new classes of manganese cluster complexes of formula Ba2Mn2L12(H3L1)2(CH3OH)4 1 and Mn4L26Cl2 2 were prepared (H4L1 = N,N&prime;-(ethane-1,2-diyl)bis(2-hydroxybenzamide); L2 = methyl picolinimidate) and characterized by standard techniques including microanalysis, IR spectroscopy, ESI spectrometry, and magnetic susceptibility measurements. X-ray diffraction studies of these complexes revealed (i) a box-type structure for 1 formed by two redox-active manganese(III) ions and two barium(II) ions connected by two bridging bisamido-bisphenoxy ligand molecules; and (ii) a planar-diamond array for Mn4N6 cluster 2 where the picolinimidates act as chelating ligands through the two nitrogen atoms. The ability of 1 and 2 to split water has been studied by means of water photolysis experiments. In these experiments, the oxygen evolution was measured in aqueous media in the presence of p-benzoquinone (acting as the hydrogen acceptor), the reduction of which was followed by UV-spectroscopy. The relevant photolytic activity found for 1 is in contrast to the inactivity of 2 in the photolytic experiments. This different behavior is discussed on the basis of the structure of the biomimetic models and the proposed reaction mechanism for this process supported by DFT calculations."
"Na+, K+-ATPase and Ca2+, Mg2+-ATPase activity in spermatozoa of infertile men with different forms of pathospermia",_‘Ñ–___»____Ñ–Ñ‡__Ñ– ÑÅÑ‚Ñƒ_´Ñ–Ñ—,2017,"Ion-exchanging ATPases play an essential role in biology of spermatozoa, incluÂ_ding their motility, hyperactivation, chemotaxis, acrosome reaction etc. The aim of present study was to analyze Na+, K+-ATPase and Ca2+, Mg2+-ATPase activities in spermatozoa of the infertile men with different forms of pathospermia and to explore a possible role that they may play in male infertility. A significant reduction in ouabain-sensitive Na+, K+-ATPase activity in sperm cells of infertile men with oligozoo-, asthenozoo-, oligoasthenozoo- and leucocytospermia was shown. The results show that asthenozoo-, oligoasthenozoo- and leucocytospermic patients have significantly impaired thapsigargin-sensitive and thapsigargin-insensitive Ca2+, Mg2+-ATPase activity compared to healthy men. However, Ca2+, Mg2+-ATPase activity has a tendency to increase in patients with oligozoospermia. The depressed ATPase activity in the infertile men could be due to a reduction in intracellular adenosine triphosphate level and damage of spermal membranes caused by lipid peroxidation products. The most significant decrease in Ca2+, Mg2+-ATPase activity was observed in patients  with leucocytospermia which could be explained by an excessive formation of the reactive oxygen species by the leucocytes. It is suggested that a decrease in the ion-exchanging ATPase activity may damage sperm functions and be one of possible causes of male infertility."
Reduced graphene oxide supported PdNi alloy nanocrystals for the oxygen reduction and methanol oxidation reactions,Green Energy & Environment,2018,"The research on electrocatalysts with relatively lower price than Pt and excellent electrocatalytic performance for the cathode oxygen reduction reaction (ORR) and anode methanol oxidation reaction (MOR) is vital for the development of direct methanol fuel cells (DMFCs). In this work, we develop a cyanogel-reduction method to synthesize reduced graphene oxide (rGO) supported highly dispersed PdNi alloy nanocrystals (PdNi/rGO) with high alloying degree and tunable Pd/Ni ratio. The large specific surface area and the d-band center downshift of Pd result in excellent activity of Pd4Ni1/rGO nanohybrids for the ORR. The modification of Pd electronic structure can facilitate the adsorption of CH3OH on Pd surface and the highly oxophilic property of Ni can eliminate/mitigate the COads intermediates poisoning, which make PdNi/rGO nanohybrids possess superior MOR activity. In addition, rGO improve the stability of PdNi alloy nanocrystals for the ORR and MOR. Due to high activity and stability for the ORR and MOR, PdNi/rGO nanohybrids are promising to be an available bifunctional electrocatalyst in DMFCs. Keywords: Cyanogel reduction, Reduced graphene oxide, PdNi alloy nanocrystals, Oxygen reduction reaction, Methanol oxidation reaction"
Effect of lithium ions on oxygen reduction in ionic liquid-based electrolytes,Electrochemistry Communications,2011,"The effect of lithium bis(trifluoromethanesulfonyl)imide (LiTFSI) on the oxygen redox reaction (ORR) in several pyrrolidinium-based ionic liquids (ILs) is investigated by cyclic voltammetry. The results are compared to those found with LiTFSI-tetraglyme and LiTFSI-1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidone solutions. The effect of the addition of tris(pentafluorophenyl) borane (TPFPB) to IL-LiTFSI solutions is also investigated. The results demonstrate that the presence of 0.1Â M Li+ renders the ORR similar in the investigated ILs, lowers the reduction voltammetric currents and makes ORR electrochemically irreversible. The addition of TPFPB to IL-TFSI solutions favours the solubility of oxygen-based products of Li+ and should positively affect the performance of IL-based lithium-air batteries. Keywords: Lithium-air battery, Oxygen redox reaction, Ionic liquid electrolyte, Borane additive, Lewis acid and base"
Structural effects on the enhancement of ORR activity on Pt single-crystal electrodes modified with alkylamines,Electrochemistry Communications,2018,"We have studied Pt surfaces for which activity towards the oxygen reduction reaction (ORR) is enhanced by adsorbed amines: octylamine (OA) and an alkyl amine containing a pyrene ring (PA). Adsorbed OA/PA (molar ratio 9/1) enhances activity for ORR on n(111)â€“(111) surfaces of Pt for terrace atomic rows n greater than 7. The activity on Pt(111), the surface of which is a flat terrace, is particularly enhanced. On Pt(100), which also has a flat terrace, however, the ORR activity is greatly reduced. It is shown that adsorbed OA/PA enhances the ORR on surfaces with a wide (111) terrace, but deactivates the ORR on the (100) terrace. Keywords: Enhancement of oxygen reduction reaction, Single crystal electrodes of Pt, Alkylamine, Wide (111) terrace"
Oxygen reduction at the silver/hydroxide-exchange membrane interface,Electrochemistry Communications,2008,"A solid-state cell is used to study the electrocatalysis of oxygen reduction at the silver/hydroxide-exchange membrane interface. The catalyst/membrane interface exhibits improved performance in comparison to a catalyst/aqueous sodium hydroxide interface. Surprisingly, the half-wave potential for oxygen reduction is shown to shift 185Â mV higher at the silver/hydroxide-exchange membrane interface than for the silver/aqueous hydroxide solution interface, and the exchange current density is significantly higher at 1.02Â Ã—Â 10âˆ’6Â AÂ mâˆ’2. On a cost per performance basis, silver electrocatalysts in a hydroxide-exchange membrane fuel cell may provide better performance than platinum in a proton-exchange membrane fuel cell. Keywords: Oxygen reduction reaction, Electrocatalyst, Alkaline membrane, Solid-state cell, Silver"
3-D composite electrodes for high performance PEM fuel cells composed of Pt supported on nitrogen-doped carbon nanotubes grown on carbon paper,Electrochemistry Communications,2009,"The 3-D composite electrodes consisting of Pt nanoparticles supported on nitrogen-doped carbon nanotubes (CNx) grown directly on carbon paper were successfully prepared. The effect of the nitrogen atom incorporation in carbon nanotubes (CNTs) on the Pt nanoparticle dispersion and catalytic activities for the oxygen reduction reaction has been investigated. Compared to regular CNTs, highly dispersed Pt nanoparticles with smaller size (2â€“3Â nm) and higher electrochemical Pt surface area as well as higher fuel cell performance were obtained for CNx. Keywords: Pt nanoparticles, Carbon nanotubes, Nitrogen-doped carbon nanotubes, Electrocatalysis, Proton exchange membrane fuel cells"
Preparation of Nanoporous PdIrZn Alloy Catalyst by Dissolving Excess ZnO for Cathode of High- Temperature Polymer Electrolyte Membrane Fuel Cells,Energies,2019,"Carbon-supported nanoporous palladium-iridium&#8722;zinc (NP-PdIrZn) electrocatalyst was prepared through the modification of the alcohol-reduction process following the selective dissolution of excess ZnO nanoparticles using NaOH solution. The electrocatalyst was applied successfully to the cathode for a high-temperature polymer electrolyte membrane fuel cell (HT-PEMFC). X-ray diffraction (XRD) patterns of the NP-PdIrZn nanoparticles suggests formation of the ternary alloy and complete removal of ZnO without the formation of individual Pd, Ir, or Zn nanoparticles. Moreover, transmission electron microscopy (TEM) images displayed porous nanoparticles with an irregular shape, which was generated by removing the ZnO from the PdIrZn&#8722;ZnO nanocomposites, and was prepared by using the excessive Zn precursor. The electrochemical surface area (ECSA) of the NP-PdIrZn catalysts was estimated by cyclic voltammetry using a rotating disk electrode method , and the oxygen reduction reaction (ORR) activity was evaluated by a linear sweep method. The NP-PdIrZn catalysts showed larger ECSA and higher ORR activity than those of the PdIr and PdIrZn catalysts, which may be attributed to the increased exposed surface area by selective etching of the ZnO in the composites. Furthermore, the NP-PdIrZn catalyst exhibited excellent performance (0.66 V) in a single cell under the HT-PEMFC condition than those of the PdIr (0.58 V) and PdIrZn (0.62 V) catalysts, indicating that geometric and electronic control of Pd-based alloy can improve the single-cell performance for the HT-PEMFC."
Improved electrocatalytic effect of carbon nanomaterials by covalently anchoring with CoTAPP via diazonium salt reactions,Electrochemistry Communications,2012,"Cobalt[tetrakis(o-aminophenyl)porphyrin] (CoTAPP) was covalently anchored (CA) onto the surface of three carbon nanomaterials (CNMs; graphene, single-walled carbon nanotubes (SWCNT), and multi-walled carbon nanotubes (MWCNT)) via diazonium salt reactions, which is a simple and effective method to improve the electrocatalytic activity of CoTAPP for combination with CNMs. The electrocatalytic reduction of O2 on glassy carbon electrodes (GCEs) modified with these CoTAPP-anchored CNMs established a pathway of four-electron transfer reductions to H2O. Among the CoTAPP-anchored CNMs, anchored graphene with CoTAPP showed the best electro-catalytic effect and the most efficient electrocatalytic performance for oxygen reduction reaction (ORR) without any precious metals. Keywords: Dioxygen reduction, Electrocatalytic, Cobalt (II) porphyrin, Graphene, Diazonium salt"
Modeling of Three-Way Catalyst Dynamics for a Compressed Natural Gas Engine during Leanâ€“Rich Transitions,Applied Sciences,2019,"The main objective of the present research activity was to investigate the effect of very fast composition transitions of the engine exhaust typical in real-world driving operating conditions, as fuel cutoff phases or engine misfire, on the aftertreatment devices, which are generally very sensitive to these changes. This phenomenon is particularly evident when dealing with engines powered by natural gas, which requires the use of a three-way catalyst (TWC). Indeed, some deviations from the stoichiometric lambda value can interfere with the catalytic converter efficiency. In this work, a numerical &#8220;quasi-steady&#8221; model was developed to simulate the chemical and transport phenomena of a specific TWC for a compressed natural gas (CNG) heavy-duty engine. A dedicated experimental campaign was performed in order to evaluate the catalyst response to a defined &#955; variation pattern of the engine exhaust stream, thus providing the data necessary for the numerical model validation. Tests were carried out to reproduce oxygen storage phenomena that make catalyst behavior different from the classic steady-state operating conditions. A surface reaction kinetic mechanism concerning CH<sub>4</sub>, CO, H<sub>2</sub>, oxidation and NO reduction has been appropriately calibrated at different &#955; values with a step-by-step procedure, both in steady-state conditions of the engine work plan and during transient conditions, through cyclical and consecutive transitions of variable frequency between rich and lean phases. The activity also includes a proper calibration of the reactions involving cerium inside the catalyst in order to reproduce oxygen storage and release dynamics. Sensitivity analysis and continuous control of the reaction rate allowed evaluating the impact of each of them on the exhaust composition in several operating conditions. The proposed model predicts tailpipe conversion/formation of the main chemical species, starting from experimental engine-out data, and provides a useful tool to evaluate the catalyst&#8217;s performance."
N-acetylcysteine prevents HIV gp 120-related damage of human cultured astrocytes: correlation with glutamine synthase dysfunction,BMC Neuroscience,2007,"<p>Abstract</p> <p>Background</p> <p>HIV envelope gp 120 glycoprotein is released during active HIV infection of brain macrophages thereby generating inflammation and oxidative stress which contribute to the development of the AIDS-Dementia Complex (ADC). Gp120 has also been found capable to generate excitotoxic effect on brain tissue via enhancement of glutamatergic neurotransmission, leading to neuronal and astroglial damage, though the mechanism is still to be better understood.</p> <p>Here we investigated on the effect of N-acetylcysteine (NAC), on gp120-induced damage in human cultured astroglial cells and the possible contribution of gp120-related reacting oxygen species (ROS) in the imbalanced activity of glutamine synthase (GS), the enzyme that metabolizes glutamate into glutamine within astroglial cells playing a neuroprotective role in brain disorders.</p> <p>Results</p> <p>Incubation of Lipari human cultured astroglial cells with gp 120 (0.1â€“10 nM) produced a significant reduction of astroglial cell viability and apoptosis as evaluated by TUNEL reaction and flow cytometric analysis (FACS). This effect was accompanied by lipid peroxidation as detected by means of malondialdehyde assay (MDA). In addition, gp 120 reduced both glutamine concentration in astroglial cell supernatants and GS expression as detected by immunocytochemistry and western blotting analysis. Pre-treatment of cells with NAC (0.5â€“5 mM), dose-dependently antagonised astroglial apoptotic cell death induced by gp 120, an effect accompanied by significant attenuation of MDA accumulation. Furthermore, both effects were closely associated with a significant recovery of glutamine levels in cell supernatants and by GS expression, thus suggesting that overproduction of free radicals might contribute in gp 120-related dysfunction of GS in astroglial cells.</p> <p>Conclusion</p> <p>In conclusion, the present experiments demonstrate that gp 120 is toxic to astroglial cells, an effect accompanied by lipid peroxidation and by altered glutamine release. All the effects of gp120 on astroglial cells were counteracted by NAC thus suggesting a novel and potentially useful approach in the treatment of glutammatergic disorders found in HAD patients.</p> "
The Roles of Graphene and Ag in the Hybrid ,[emailÂ protected],2018," with 2.5 wt% graphene presented the highest activity among all the prepared composite photocatalysts. The coupling of graphene and Ag0 increased the photocatalyticactivity and stability of pure Ag2O. Under higher SMX concentrations, the adsorption, not the photocatalytic ability, playeda crucial role during the SMX removal process. On the basis of the characterization and reactive oxygen species (ROS) scavenging experiments, a separation and transfer mechanism of photogenerated carriers was proposed. In the photocatalytic degradation of SMX, the major active species wereidentified as photogenerated holes; photogenerated electrons in the conduction band (CB) of Ag2O could not transfer to graphene through Ag0due to the more negative reduction potential of graphene. This is an important result regardinggraphene and Ag0 roles which isdifferent from that for the photocatalytic degradation of dyes. This researchmay provide new insights into photocatalytic processes for the degradation of non-dye pollutants bycomposite materials to guidethe design of highly efficient reaction systems."
"Platinum monolayer electrocatalysts for oxygen reduction: effect of substrates, and long-term stability",Journal of the Serbian Chemical Society,2005,"We describe a novel concept for a Ptmonolayer electrocatalyst and present the results of our electrochemical, X-ray absorption spectroscopy, and scanning tunneling microscopy studies. The electrocatalysts were prepared by a new method for depositing Pt monolayers involving the galvanic displacement by Pt of an underpotentially deposited Cu monolayer on substrates of Au (111), Ir(111), Pd(111), Rh(111) and Ru(0001) single crylstals, and Pd nanoparticles. The kinetics of O2 reduction showed significant enhancement with Pt monolayers on Pd(111) and Pd nanoparticle surfaces in comparisonwith the reaction on Pt(111) and Pt nanoparticles, respectively. This increase in catalytic activity is attributed partly to the decreased formation of PtOH, as shown by in situ X-ray absorption spectroscopy. The results illustrate that placing a Pt monolayer on a suitable substrate of metal nanoparticles is an attractive way of designing better O2 reduction electrocatalysts with very low Pt contents."
Equilibrium coverage of OHad in correlation with platinum catalyzed fuel cell reactions in HClO4,Electrochemistry Communications,2015,"We employ a recently developed stripping protocol to examine the equilibrium coverage of oxygenated species and their influence on the oxygen reduction reaction (ORR) and the hydrogen oxidation reaction (HOR). In particular we aim to distinguish between dynamic and steady state conditions and establish if distinctive potential regions exist where the different respective oxygenated species OHad, Oad and Pt-oxide dominate. Keywords: Platinum, OHad, Oad, ORR, HOR, Stripping voltammetry"
Microwave Assisted Synthesis of Osmium Electrocatalysts for the Oxygen Reduction Reaction in the Absence and Presence of Aqueous Methanol,International Journal of Electrochemistry,2011,"Osmium electrocatalysts for the oxygen reduction reaction (ORR) were prepared by microwave irradiation of Os3(CO)12 at different experimental conditions. The materials obtained were structurally characterized by FT-IR, micro-Raman spectroscopy and X-ray diffraction. Their chemical compositions were obtained by EDS. The electrocatalytic properties for the oxygen reduction reaction were evaluated by rotating disk electrode measurements in 0.5â€‰molâ€‰L-1  H2SO4, in the absence and presence of aqueous methanol. The kinetic parameters, such as Tafel slope, exchange current density, and charge transfer coefficient are reported."
Variation of iron redox kinetics and its relation with molecular composition of standard humic substances at circumneutral pH.,PLoS ONE,2017,"Oxidation and reduction kinetics of iron (Fe) and proportion of steady-state Fe(II) concentration relative to total dissolved Fe (steady-state Fe(II) fraction) were investigated in the presence of various types of standard humic substances (HS) with particular emphasis on the photochemical and thermal reduction of Fe(III) and oxidation of Fe(II) by dissolved oxygen (O2) and hydrogen peroxide (H2O2) at circumneutral pH (pH 7-8). Rates of Fe(III) reduction were spectrophotometrically determined by a ferrozine method under the simulated sunlight and dark conditions, whereas rates of Fe(II) oxidation were examined in air-saturated solution using luminol chemiluminescence technique. The reduction and oxidation rate constants were determined to substantially vary depending on the type of HS. For example, the first-order rate constants varied by up to 10-fold for photochemical reduction and 7-fold for thermal reduction. The degree of variation in Fe(II) oxidation was larger for the H2O2-mediated reaction compared to the O2-mediated reaction (e.g., 15- and 3-fold changes for the former and latter reactions, respectively, at pH 8). The steady-state Fe(II) fraction under the simulated sunlight indicated that the Fe(II) fraction varies by up to 12-fold. The correlation analysis indicated that variation of Fe(II) oxidation is significantly associated with aliphatic content of HS, suggesting that Fe(II) complexation by aliphatic components accelerates Fe(II) oxidation. The reduction rate constant and steady-state Fe(II) fractions in the presence of sunlight had relatively strong positive relations with free radical content of HS, possibly due to the reductive property of radical semiquinone in HS. Overall, the findings in this study indicated that the Fe reduction and oxidation kinetics and resultant Fe(II) formation are substantially influenced by chemical properties of HS."
